feature,coef,selected
c_EXT_SOURCE,-0.5011791529774499,True
DAYS_BIRTH,0.0862204717153264,True
INSTALLMENTS_DBD_MAX,0.0697529928419867,True
INSTALLMENTS_DPD_SUM,0.006193039996106156,True
BUREAU_CREDIT_DAY_OVERDUE_MAX,0.0012651572830257053,True
BUREAU_CREDIT_TYPE_NUNIQUE,0.012739278234853154,True
INSTALLMENTS_DPD_MAX,-0.011274711290499487,True
BUREAU_SK_ID_BUREAU_COUNT,0.018569715957258894,True
INSTALLMENTS_PAYMENT_PERC_MAX,0.0035233136329481172,True
AMT_INCOME_TOTAL,0.010898584070710439,True
INSTALLMENTS_PAYMENT_PERC_MEAN,-0.0025693631258363247,True
NAME_CONTRACT_TYPE_cash loans,-0.6134908275372645,True
NAME_CONTRACT_TYPE_revolving loans,-1.0800317864180062,True
NAME_INCOME_TYPE_commercial associate,-0.34187730750026485,True
NAME_INCOME_TYPE_pensioner,-0.5304969197054404,True
NAME_INCOME_TYPE_state servant,-0.6181413104132997,True
NAME_INCOME_TYPE_student,-0.0013290144992290458,True
INSTALLMENTS_DPD_MEAN,0.00026689693381824905,True
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.022995272042381998,True
BUREAU_CREDIT_DAY_OVERDUE_MEAN,0.014484378796433639,True
PREV_APP_AMT_APPLICATION_MAX,0.13580296893733215,True
INSTALLMENTS_PAYMENT_PERC_MIN,-0.1484466401742335,True
PREV_APP_APP_CREDIT_PERC_MEAN,-0.19837103043935972,True
PREV_APP_AMT_ANNUITY_MEAN,-0.12502293329655487,True
INSTALLMENTS_DBD_SUM,-0.2845290308231967,True
PREV_APP_APP_CREDIT_PERC_MAX,-0.03567432763382306,True
AMT_CREDIT,-0.023917104501389935,True
INSTALLMENTS_PAYMENT_DIFF_MEAN,0.07417406958410357,True
PREV_APP_AMT_ANNUITY_MAX,-0.1572930744248611,True
INSTALLMENTS_PAYMENT_DIFF_SUM,0.020990116849822778,True
PREV_APP_SK_ID_PREV_COUNT,0.1600879301771681,True
INSTALLMENTS_DBD_MEAN,0.016835671668276653,True
PREV_APP_AMT_APPLICATION_MEAN,0.08339321667413342,True
INSTALLMENTS_PAYMENT_DIFF_MAX,0.017574598355128816,True
PREV_APP_APP_CREDIT_PERC_MIN,0.07788049968735787,True
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,0.01661299872452824,True
NAME_INCOME_TYPE_working,-0.191768528752346,True
NAME_INCOME_TYPE_unemployed,0.0,False
